config,n_seeds,detector,transform,kind,gamma,nu,n_train,tau_b_beta,tau_u_quantile,tau_m_objective,balanced_accuracy_mean,balanced_accuracy_std,f1_weighted_mean,f1_weighted_std,f1_macro_mean,f1_macro_std,benign_fpr_mean,benign_fpr_std,attack_detection_rate_mean,attack_detection_rate_std,detector_infer_s_mean,detector_infer_s_std,detector_fit_s_mean,detector_fit_s_std,delta_bacc_mean,delta_bacc_min_over_seeds,delta_bacc_std,reliable_gain
qu-ocsvm-g0.000293-nu0.001|F4|q0.95|f1,3,qu-ocsvm-g0.000293-nu0.001,quantile_uniform,ocsvm,0.000293,0.001,10000,F4,0.95,f1,0.8884142743937531,0.003477840156507366,0.9662812529532769,0.0003153190940117444,0.6926099543391869,0.005400599279942185,0.05803532493990993,0.0004358439772394027,0.8955849889624724,0.0039918634260540965,4.772065133331732,0.8714810457191403,3.387528433338351,0.4846741360327036,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
qu-ocsvm-g0.000293-nu0.001|F3|q0.95|f1_weighted,3,qu-ocsvm-g0.000293-nu0.001,quantile_uniform,ocsvm,0.000293,0.001,10000,F3,0.95,f1_weighted,0.8884142743937531,0.003477840156507366,0.9662812529532769,0.0003153190940117444,0.6926099543391869,0.005400599279942185,0.05803532493990993,0.0004358439772394027,0.8955849889624724,0.0039918634260540965,4.772065133331732,0.8714810457191403,3.387528433338351,0.4846741360327036,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
qu-ocsvm-g0.000293-nu0.001|F3|q0.95|f1,3,qu-ocsvm-g0.000293-nu0.001,quantile_uniform,ocsvm,0.000293,0.001,10000,F3,0.95,f1,0.8884142743937531,0.003477840156507366,0.9662812529532769,0.0003153190940117444,0.6926099543391869,0.005400599279942185,0.05803532493990993,0.0004358439772394027,0.8955849889624724,0.0039918634260540965,4.772065133331732,0.8714810457191403,3.387528433338351,0.4846741360327036,1.2209884424740913e-05,-5.2328076105556676e-06,2.581282698409939e-05,False
ocsvm-g0.0001-nu0.0001|F2|q0.95|f1,3,ocsvm-g0.0001-nu0.0001,standard,ocsvm,0.0001,0.0001,10000,F2,0.95,f1,0.8884119487014818,0.003418401402325799,0.9663664191209754,0.00039584526701562015,0.6926223132042403,0.005395743330189255,0.058049279093538186,0.0006536053911473879,0.9075055187637969,0.00166663011816133,1.479800433337611,0.9870202133730798,0.5670372333358197,0.3593723718407381,9.88419215334583e-06,-4.011819168114883e-05,5.3487762240256954e-05,False
ocsvm-g0.0001-nu0.0001|F2|q0.95|f1_weighted,3,ocsvm-g0.0001-nu0.0001,standard,ocsvm,0.0001,0.0001,10000,F2,0.95,f1_weighted,0.8884119487014818,0.003418401402325799,0.9663664191209754,0.00039584526701562015,0.6926223132042403,0.005395743330189255,0.058049279093538186,0.0006536053911473879,0.9075055187637969,0.00166663011816133,1.479800433337611,0.9870202133730798,0.5670372333358197,0.3593723718407381,9.88419215334583e-06,-4.011819168114883e-05,5.3487762240256954e-05,False
ocsvm-g0.0001-nu0.0001|F3|q0.95|f1,3,ocsvm-g0.0001-nu0.0001,standard,ocsvm,0.0001,0.0001,10000,F3,0.95,f1,0.8884119487014818,0.003418401402325799,0.9663664191209754,0.00039584526701562015,0.6926223132042403,0.005395743330189255,0.058049279093538186,0.0006536053911473879,0.9075055187637969,0.00166663011816133,1.479800433337611,0.9870202133730798,0.5670372333358197,0.3593723718407381,9.88419215334583e-06,-4.011819168114883e-05,5.3487762240256954e-05,False
ocsvm-g0.0001-nu0.0001|F6|q0.95|f1_weighted,3,ocsvm-g0.0001-nu0.0001,standard,ocsvm,0.0001,0.0001,10000,F6,0.95,f1_weighted,0.8884119487014818,0.003418401402325799,0.9663664191209754,0.00039584526701562015,0.6926223132042403,0.005395743330189255,0.058049279093538186,0.0006536053911473879,0.9075055187637969,0.00166663011816133,1.479800433337611,0.9870202133730798,0.5670372333358197,0.3593723718407381,9.88419215334583e-06,-4.011819168114883e-05,5.3487762240256954e-05,False
ocsvm-g0.0001-nu0.0001|F4|q0.95|f1,3,ocsvm-g0.0001-nu0.0001,standard,ocsvm,0.0001,0.0001,10000,F4,0.95,f1,0.8884119487014818,0.003418401402325799,0.9663664191209754,0.00039584526701562015,0.6926223132042403,0.005395743330189255,0.058049279093538186,0.0006536053911473879,0.9075055187637969,0.00166663011816133,1.479800433337611,0.9870202133730798,0.5670372333358197,0.3593723718407381,9.88419215334583e-06,-4.011819168114883e-05,5.3487762240256954e-05,False
ocsvm-g0.0001-nu0.0001|F7|q0.95|f1,3,ocsvm-g0.0001-nu0.0001,standard,ocsvm,0.0001,0.0001,10000,F7,0.95,f1,0.8884119487014818,0.003418401402325799,0.9663664191209754,0.00039584526701562015,0.6926223132042403,0.005395743330189255,0.058049279093538186,0.0006536053911473879,0.9075055187637969,0.00166663011816133,1.479800433337611,0.9870202133730798,0.5670372333358197,0.3593723718407381,9.88419215334583e-06,-4.011819168114883e-05,5.3487762240256954e-05,False
ocsvm-g0.0001-nu0.0001|F6|q0.95|f1,3,ocsvm-g0.0001-nu0.0001,standard,ocsvm,0.0001,0.0001,10000,F6,0.95,f1,0.8884119487014818,0.003418401402325799,0.9663664191209754,0.00039584526701562015,0.6926223132042403,0.005395743330189255,0.058049279093538186,0.0006536053911473879,0.9075055187637969,0.00166663011816133,1.479800433337611,0.9870202133730798,0.5670372333358197,0.3593723718407381,9.88419215334583e-06,-4.011819168114883e-05,5.3487762240256954e-05,False
