arm,seed,held_out,zd,keep,fp,zd_in_sample,keep_in_sample,feasible,n_feasible_trials,tuning_objective,params
continuous,3,Web Attack - XSS,0.004601226993865031,0.909271523178808,0.09185670479639145,0.5402767928148491,0.9044701986754966,True,34.0,0.40533404883470786,"{'qb': 0.61804, 'qm': 0.08574, 'qu': 0.9161, 'qz': 0.80494, 'qc': 0.78061, 'w': 0.20837, 'taun': 0.85485}"
recommended-fixed,3,DDoS,0.6356101676379146,0.909933774834437,0.0905589685089638,,,True,,,"{'rule': 'thresholds', 'qb': 0.75, 'qm': 0.1, 'qu': 0.92}"
recommended-fixed,3,DoS Hulk,0.9463973710702012,0.919205298013245,0.08769138993835753,,,True,,,"{'rule': 'thresholds', 'qb': 0.75, 'qm': 0.1, 'qu': 0.92}"
recommended-fixed,3,DoS slowloris,0.5779015784586815,0.9158940397350993,0.08700065933375893,,,True,,,"{'rule': 'thresholds', 'qb': 0.75, 'qm': 0.1, 'qu': 0.92}"
recommended-fixed,3,FTP-Patator,0.0005058168942842691,0.9158940397350993,0.09482893951920963,,,True,,,"{'rule': 'thresholds', 'qb': 0.75, 'qm': 0.1, 'qu': 0.92}"
recommended-fixed,3,Web Attack - XSS,0.003067484662576687,0.9225165562913907,0.08809954893198396,,,True,,,"{'rule': 'thresholds', 'qb': 0.75, 'qm': 0.1, 'qu': 0.92}"
submitted,4,DDoS,0.5479713156373521,0.8834437086092716,0.057874852173185,0.2998200685951523,0.8879139072847682,True,,,{}
submitted,4,DoS Hulk,0.93547435289217,0.9251655629139073,0.05761321179265523,0.20294430928144783,0.8774834437086093,True,,,{}
submitted,4,DoS slowloris,0.23825441039925718,0.8794701986754967,0.05897374177141003,0.37724929490467607,0.8889072847682119,True,,,{}
submitted,4,FTP-Patator,0.0010116337885685382,0.8649006622516556,0.056985274879383783,0.4365599890573482,0.8925496688741722,True,,,{}
submitted,4,Web Attack - XSS,0.024539877300613498,0.8821192052980132,0.056807359420623545,0.430677928179337,0.8882450331125828,True,,,{}
thresholds,4,DDoS,0.6190182323808333,0.9105960264900662,0.09262069470753838,0.30674200018487086,0.9119205298013244,True,43.0,0.23039371140150933,"{'qb': 0.91895, 'qm': 0.09953, 'qu': 0.74309}"
thresholds,4,DoS Hulk,0.9473693345521447,0.9370860927152318,0.08912517922366066,0.2246693413960743,0.9334437086092715,True,40.0,0.16883921730991192,"{'qb': 0.91868, 'qm': 0.06906, 'qu': 0.53138}"
thresholds,4,DoS slowloris,0.25218198700092853,0.909271523178808,0.09069502150683928,0.39845106152984705,0.912251655629139,True,43.0,0.29917550741024146,"{'qb': 0.91895, 'qm': 0.09953, 'qu': 0.55559}"
thresholds,4,FTP-Patator,0.0013488450514247176,0.9152317880794701,0.09798955531600925,0.461159347017223,0.9107615894039736,True,43.0,0.3523879151708927,"{'qb': 0.91895, 'qm': 0.09953, 'qu': 0.55559}"
thresholds,4,Web Attack - XSS,0.02607361963190184,0.919205298013245,0.08988916913480759,0.45497815337210373,0.9097682119205298,True,42.0,0.34157082629193397,"{'qb': 0.91895, 'qm': 0.09953, 'qu': 0.74309}"
override,4,DDoS,0.6191432187104535,0.9132450331125828,0.09354166884700317,0.30675212480447445,0.9089403973509934,True,37.0,0.23040130486621202,"{'qb': 0.76555, 'qm': 0.08426, 'qu': 0.91822, 'qz': 0.92145, 'qc': 0.42217}"
override,4,DoS Hulk,0.9472999085891487,0.9211920529801324,0.0878379085514542,0.2246029424084636,0.9018211920529801,True,38.0,0.1687894180692039,"{'qb': 0.6588, 'qm': 0.09376, 'qu': 0.91967, 'qz': 0.50226, 'qc': 0.90525}"
