config,detector,transform,kind,gamma,nu,n_train,tau_b_beta,tau_u_quantile,tau_m_objective,seed,balanced_accuracy,f1_weighted,f1_macro,benign_fpr,attack_detection_rate,tau_b,tau_m,tau_u,detector_fit_s,detector_infer_s
qu-ocsvm-g0.000293-nu1.3e-06|F4|q0.995|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F4,0.995,f1,1,0.8918576543257194,0.9890298470349281,0.6948728461193869,0.013092484641709663,0.8748344370860928,5.749129060322442e-05,1.0,0.0005469003051036966,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F4|q0.995|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F4,0.995,f1_weighted,1,0.8918576543257194,0.9890298470349281,0.6948728461193869,0.013092484641709663,0.8748344370860928,5.749129060322442e-05,1.0,0.0005469003051036966,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F5|q0.95|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F5,0.95,f1,1,0.8843991592114175,0.9663827362565349,0.6915864168538464,0.05784345532752143,0.8986754966887417,5.7104789024243986e-05,1.0,0.00039742842625154623,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F5|q0.95|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F5,0.95,f1_weighted,1,0.8843991592114175,0.9663827362565349,0.6915864168538464,0.05784345532752143,0.8986754966887417,5.7104789024243986e-05,1.0,0.00039742842625154623,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F5|q0.975|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F5,0.975,f1,1,0.888566218338655,0.9791899320682635,0.6934449295593756,0.03284110056409666,0.8887417218543047,5.7104789024243986e-05,1.0,0.0004300127780456119,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F5|q0.975|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F5,0.975,f1_weighted,1,0.888566218338655,0.9791899320682635,0.6934449295593756,0.03284110056409666,0.8887417218543047,5.7104789024243986e-05,1.0,0.0004300127780456119,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F5|q0.99|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F5,0.99,f1,1,0.8910657561073161,0.9867059569585038,0.6945356154486937,0.017843873952130277,0.8814569536423841,5.7104789024243986e-05,1.0,0.00045011378661164066,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F5|q0.99|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F5,0.99,f1_weighted,1,0.8910657561073161,0.9867059569585038,0.6945356154486937,0.017843873952130277,0.8814569536423841,5.7104789024243986e-05,1.0,0.00045011378661164066,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F5|q0.995|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F5,0.995,f1,1,0.8918576543257194,0.9890298470349281,0.6948728461193869,0.013092484641709663,0.8748344370860928,5.7104789024243986e-05,1.0,0.0005469003051036966,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F5|q0.995|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F5,0.995,f1_weighted,1,0.8918576543257194,0.9890298470349281,0.6948728461193869,0.013092484641709663,0.8748344370860928,5.7104789024243986e-05,1.0,0.0005469003051036966,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F6|q0.95|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F6,0.95,f1,1,0.8843991592114175,0.9663827362565349,0.6915864168538464,0.05784345532752143,0.8986754966887417,5.7104789024243986e-05,1.0,0.00039742842625154623,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F6|q0.95|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F6,0.95,f1_weighted,1,0.8843991592114175,0.9663827362565349,0.6915864168538464,0.05784345532752143,0.8986754966887417,5.7104789024243986e-05,1.0,0.00039742842625154623,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F6|q0.975|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F6,0.975,f1,1,0.888566218338655,0.9791899320682635,0.6934449295593756,0.03284110056409666,0.8887417218543047,5.7104789024243986e-05,1.0,0.0004300127780456119,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F6|q0.975|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F6,0.975,f1_weighted,1,0.888566218338655,0.9791899320682635,0.6934449295593756,0.03284110056409666,0.8887417218543047,5.7104789024243986e-05,1.0,0.0004300127780456119,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F6|q0.99|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F6,0.99,f1,1,0.8910657561073161,0.9867059569585038,0.6945356154486937,0.017843873952130277,0.8814569536423841,5.7104789024243986e-05,1.0,0.00045011378661164066,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F6|q0.99|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F6,0.99,f1_weighted,1,0.8910657561073161,0.9867059569585038,0.6945356154486937,0.017843873952130277,0.8814569536423841,5.7104789024243986e-05,1.0,0.00045011378661164066,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F6|q0.995|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F6,0.995,f1,1,0.8918576543257194,0.9890298470349281,0.6948728461193869,0.013092484641709663,0.8748344370860928,5.7104789024243986e-05,1.0,0.0005469003051036966,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F6|q0.995|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F6,0.995,f1_weighted,1,0.8918576543257194,0.9890298470349281,0.6948728461193869,0.013092484641709663,0.8748344370860928,5.7104789024243986e-05,1.0,0.0005469003051036966,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F7|q0.95|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F7,0.95,f1,1,0.8843991592114175,0.9663827362565349,0.6915864168538464,0.05784345532752143,0.8986754966887417,5.7104789024243986e-05,1.0,0.00039742842625154623,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F7|q0.95|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F7,0.95,f1_weighted,1,0.8843991592114175,0.9663827362565349,0.6915864168538464,0.05784345532752143,0.8986754966887417,5.7104789024243986e-05,1.0,0.00039742842625154623,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F7|q0.975|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F7,0.975,f1,1,0.888566218338655,0.9791899320682635,0.6934449295593756,0.03284110056409666,0.8887417218543047,5.7104789024243986e-05,1.0,0.0004300127780456119,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F7|q0.975|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F7,0.975,f1_weighted,1,0.888566218338655,0.9791899320682635,0.6934449295593756,0.03284110056409666,0.8887417218543047,5.7104789024243986e-05,1.0,0.0004300127780456119,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F7|q0.99|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F7,0.99,f1,1,0.8910657561073161,0.9867059569585038,0.6945356154486937,0.017843873952130277,0.8814569536423841,5.7104789024243986e-05,1.0,0.00045011378661164066,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F7|q0.99|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F7,0.99,f1_weighted,1,0.8910657561073161,0.9867059569585038,0.6945356154486937,0.017843873952130277,0.8814569536423841,5.7104789024243986e-05,1.0,0.00045011378661164066,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F7|q0.995|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F7,0.995,f1,1,0.8918576543257194,0.9890298470349281,0.6948728461193869,0.013092484641709663,0.8748344370860928,5.7104789024243986e-05,1.0,0.0005469003051036966,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F7|q0.995|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F7,0.995,f1_weighted,1,0.8918576543257194,0.9890298470349281,0.6948728461193869,0.013092484641709663,0.8748344370860928,5.7104789024243986e-05,1.0,0.0005469003051036966,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F8|q0.95|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F8,0.95,f1,1,0.8843991592114175,0.9663827362565349,0.6915864168538464,0.05784345532752143,0.8986754966887417,5.620602892902398e-05,1.0,0.00039742842625154623,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F8|q0.95|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F8,0.95,f1_weighted,1,0.8843991592114175,0.9663827362565349,0.6915864168538464,0.05784345532752143,0.8986754966887417,5.620602892902398e-05,1.0,0.00039742842625154623,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F8|q0.975|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F8,0.975,f1,1,0.888566218338655,0.9791899320682635,0.6934449295593756,0.03284110056409666,0.8887417218543047,5.620602892902398e-05,1.0,0.0004300127780456119,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F8|q0.975|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F8,0.975,f1_weighted,1,0.888566218338655,0.9791899320682635,0.6934449295593756,0.03284110056409666,0.8887417218543047,5.620602892902398e-05,1.0,0.0004300127780456119,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F8|q0.99|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F8,0.99,f1,1,0.8910657561073161,0.9867059569585038,0.6945356154486937,0.017843873952130277,0.8814569536423841,5.620602892902398e-05,1.0,0.00045011378661164066,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F8|q0.99|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F8,0.99,f1_weighted,1,0.8910657561073161,0.9867059569585038,0.6945356154486937,0.017843873952130277,0.8814569536423841,5.620602892902398e-05,1.0,0.00045011378661164066,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F8|q0.995|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F8,0.995,f1,1,0.8918576543257194,0.9890298470349281,0.6948728461193869,0.013092484641709663,0.8748344370860928,5.620602892902398e-05,1.0,0.0005469003051036966,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F8|q0.995|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F8,0.995,f1_weighted,1,0.8918576543257194,0.9890298470349281,0.6948728461193869,0.013092484641709663,0.8748344370860928,5.620602892902398e-05,1.0,0.0005469003051036966,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F9|q0.95|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F9,0.95,f1,1,0.8843991592114175,0.9663827362565349,0.6915864168538464,0.05784345532752143,0.8986754966887417,5.620602892902398e-05,1.0,0.00039742842625154623,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F9|q0.95|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F9,0.95,f1_weighted,1,0.8843991592114175,0.9663827362565349,0.6915864168538464,0.05784345532752143,0.8986754966887417,5.620602892902398e-05,1.0,0.00039742842625154623,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F9|q0.975|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F9,0.975,f1,1,0.888566218338655,0.9791899320682635,0.6934449295593756,0.03284110056409666,0.8887417218543047,5.620602892902398e-05,1.0,0.0004300127780456119,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F9|q0.975|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F9,0.975,f1_weighted,1,0.888566218338655,0.9791899320682635,0.6934449295593756,0.03284110056409666,0.8887417218543047,5.620602892902398e-05,1.0,0.0004300127780456119,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F9|q0.99|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F9,0.99,f1,1,0.8910657561073161,0.9867059569585038,0.6945356154486937,0.017843873952130277,0.8814569536423841,5.620602892902398e-05,1.0,0.00045011378661164066,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F9|q0.99|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F9,0.99,f1_weighted,1,0.8910657561073161,0.9867059569585038,0.6945356154486937,0.017843873952130277,0.8814569536423841,5.620602892902398e-05,1.0,0.00045011378661164066,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F9|q0.995|f1,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F9,0.995,f1,1,0.8918576543257194,0.9890298470349281,0.6948728461193869,0.013092484641709663,0.8748344370860928,5.620602892902398e-05,1.0,0.0005469003051036966,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu1.3e-06|F9|q0.995|f1_weighted,qu-ocsvm-g0.000293-nu1.3e-06,quantile_uniform,ocsvm,0.000293,1.3e-06,10000,F9,0.995,f1_weighted,1,0.8918576543257194,0.9890298470349281,0.6948728461193869,0.013092484641709663,0.8748344370860928,5.620602892902398e-05,1.0,0.0005469003051036966,3.77320680001867,4.208861099992646
qu-ocsvm-g0.000293-nu0.001|F1|q0.95|f1,qu-ocsvm-g0.000293-nu0.001,quantile_uniform,ocsvm,0.000293,0.001,10000,F1,0.95,f1,1,0.8924908240466015,0.990941456062794,0.6951502487388612,0.00929346631641741,0.8774834437086093,-0.0009431628873932505,1.0,-0.0356869856615436,2.914010100008454,3.8307571999903303
qu-ocsvm-g0.000293-nu0.001|F1|q0.95|f1_weighted,qu-ocsvm-g0.000293-nu0.001,quantile_uniform,ocsvm,0.000293,0.001,10000,F1,0.95,f1_weighted,1,0.8924908240466015,0.990941456062794,0.6951502487388612,0.00929346631641741,0.8774834437086093,-0.0009431628873932505,1.0,-0.0356869856615436,2.914010100008454,3.8307571999903303
qu-ocsvm-g0.000293-nu0.001|F1|q0.975|f1,qu-ocsvm-g0.000293-nu0.001,quantile_uniform,ocsvm,0.000293,0.001,10000,F1,0.975,f1,1,0.8924908240466015,0.990941456062794,0.6951502487388612,0.00929346631641741,0.8774834437086093,-0.0009431628873932505,1.0,-0.02877908189878009,2.914010100008454,3.8307571999903303
