zero_day_recall,zero_day_hits,n,ci_lo,ci_hi,balanced_accuracy,benign_fpr,tau_m,recall_Benign,recall_Brute Force,recall_DoS,recall_Port Scan,recall_Web Attack,detector,classifier,withheld,seed,recall_Botnet
1.0,11,11,0.7411670330319684,1.0,0.7442403711084055,0.051114064740295756,0.9999995841161288,0.9488859352597042,0.5993377483443708,0.7086092715231788,0.7450331125827815,0.7350993377483444,ocsvm,lgbm,Heartbleed,1,0.7284768211920529
0.4722222222222222,17,36,0.31986041515179053,0.629940619770124,0.7442403711084055,0.051114064740295756,0.9999995841161288,0.9488859352597042,0.5993377483443708,0.7086092715231788,0.7450331125827815,0.7350993377483444,ocsvm,lgbm,Infiltration,0,0.7284768211920529
0.5277777777777778,19,36,0.37005938022987594,0.6801395848482095,0.7442403711084055,0.051114064740295756,0.9999995841161288,0.9488859352597042,0.5993377483443708,0.7086092715231788,0.7450331125827815,0.7350993377483444,ocsvm,lgbm,Infiltration,1,0.7284768211920529
0.11554192229038855,226,1956,0.10212252600567887,0.1304684607647459,0.7474658968224798,0.057372502642567845,0.9999996448841776,0.9426274973574321,0.5695364238410596,0.6490066225165563,,0.8410596026490066,ocsvm,lgbm,Port Scan,0,0.7350993377483444
0.10429447852760736,204,1956,0.09151623049013322,0.11862396068049016,0.7473842650237545,0.05778066163619428,0.9999996448841776,0.9422193383638057,0.5695364238410596,0.6490066225165563,,0.8410596026490066,ocsvm,lgbm,Port Scan,1,0.7350993377483444
0.0,0,2143,1.0842021724855044e-19,0.0017893537526540598,0.8459283385364538,0.05181526096011554,0.9999993497318196,0.9481847390398844,0.9470198675496688,0.804635761589404,0.7450331125827815,,ocsvm,lgbm,Web Attack,0,0.7847682119205298
0.0013999066728884741,3,2143,0.00047620627477331224,0.004107950967140698,0.8459283385364538,0.05181526096011554,0.9999993497318196,0.9481847390398844,0.9470198675496688,0.804635761589404,0.7450331125827815,,ocsvm,lgbm,Web Attack,1,0.7847682119205298
0.010438413361169102,15,1437,0.006335945315863931,0.01715134304158854,0.8176190694815251,0.05059078397923622,0.9999996473658901,0.9494092160207638,0.8467153284671532,0.7883211678832117,0.7031630170316302,0.8004866180048662,ecod,lgbm,Botnet,0,
0.010438413361169102,15,1437,0.006335945315863931,0.01715134304158854,0.8176253488506579,0.05055938713357265,0.9999996473658901,0.9494406128664273,0.8467153284671532,0.7883211678832117,0.7031630170316302,0.8004866180048662,ecod,lgbm,Botnet,1,
0.0,0,9150,0.0,0.0004196553805279721,0.7532005480101088,0.051878054651442684,0.9999996867185984,0.9481219453485573,,0.6754966887417219,0.652317880794702,0.7615894039735099,ecod,lgbm,Brute Force,0,0.7284768211920529
0.0,0,9150,0.0,0.0004196553805279721,0.7531858961487992,0.05195131395799102,0.9999996867185984,0.948048686042009,,0.6754966887417219,0.652317880794702,0.7615894039735099,ecod,lgbm,Brute Force,1,0.7284768211920529
0.011281735709024457,3630,321759,0.010922598125270385,0.011652542701705194,0.6599884212868949,0.051051271048968616,0.9999996265242284,0.9489487289510314,0.5331125827814569,,0.6556291390728477,0.7086092715231788,ecod,lgbm,DoS,0,0.45364238410596025
0.011235116966425181,3615,321759,0.010876726008546235,0.0116051784463735,0.6599926075329835,0.051030339818526234,0.9999996265242284,0.9489696601814738,0.5331125827814569,,0.6556291390728477,0.7086092715231788,ecod,lgbm,DoS,1,0.45364238410596025
1.0,11,11,0.7411670330319684,1.0,0.7444461948744222,0.049879122144195244,0.9999995841161288,0.9501208778558048,0.5993377483443708,0.7086092715231788,0.7450331125827815,0.7350993377483444,ecod,lgbm,Heartbleed,0,0.7284768211920529
1.0,11,11,0.7411670330319684,1.0,0.7444444506052186,0.04988958775941644,0.9999995841161288,0.9501104122405836,0.5993377483443708,0.7086092715231788,0.7450331125827815,0.7350993377483444,ecod,lgbm,Heartbleed,1,0.7284768211920529
0.6111111111111112,22,36,0.44864459096605147,0.75215126934629,0.7444461948744222,0.049879122144195244,0.9999995841161288,0.9501208778558048,0.5993377483443708,0.7086092715231788,0.7450331125827815,0.7350993377483444,ecod,lgbm,Infiltration,0,0.7284768211920529
0.6111111111111112,22,36,0.44864459096605147,0.75215126934629,0.7444444506052186,0.04988958775941644,0.9999995841161288,0.9501104122405836,0.5993377483443708,0.7086092715231788,0.7450331125827815,0.7350993377483444,ecod,lgbm,Infiltration,1,0.7284768211920529
0.0081799591002045,16,1956,0.0050413368834158765,0.013246600979813734,0.7475328767598954,0.057037602955489736,0.9999996448841776,0.9429623970445102,0.5695364238410596,0.6490066225165563,,0.8410596026490066,ecod,lgbm,Port Scan,0,0.7350993377483444
0.0081799591002045,16,1956,0.0050413368834158765,0.013246600979813734,0.7475412492520725,0.05699574049460498,0.9999996448841776,0.943004259505395,0.5695364238410596,0.6490066225165563,,0.8410596026490066,ecod,lgbm,Port Scan,1,0.7350993377483444
0.0,0,2143,1.0842021724855044e-19,0.0017893537526540598,0.8462067239013373,0.05042333413569717,0.9999993497318196,0.9495766658643028,0.9470198675496688,0.804635761589404,0.7450331125827815,,ecod,lgbm,Web Attack,0,0.7847682119205298
0.0,0,2143,1.0842021724855044e-19,0.0017893537526540598,0.8462088170243817,0.050412868520475974,0.9999993497318196,0.949587131479524,0.9470198675496688,0.804635761589404,0.7450331125827815,,ecod,lgbm,Web Attack,1,0.7847682119205298
0.030619345859429367,44,1437,0.02288737800390043,0.04085416570200106,0.8991103335829548,0.04946049753534761,1.0,0.9505395024646524,0.9343065693430657,0.8491484184914841,0.8978102189781022,0.8637469586374696,iforest,rf,Botnet,0,
0.030619345859429367,44,1437,0.02288737800390043,0.04085416570200106,0.900885169512792,0.05031867798348526,1.0,0.9496813220165148,0.9343065693430657,0.8248175182481752,0.9221411192214112,0.8734793187347932,iforest,rf,Botnet,1,
0.0,0,9150,0.0,0.0004196553805279721,0.8748430036426578,0.05955981622379672,1.0,0.9404401837762033,,0.7450331125827815,0.8774834437086093,0.8874172185430463,iforest,rf,Brute Force,0,0.9238410596026491
0.0,0,9150,0.0,0.0004196553805279721,0.8823261749680367,0.06519031721279736,0.9962525050099793,0.9348096827872027,,0.7516556291390728,0.9105960264900662,0.8940397350993378,iforest,rf,Brute Force,1,0.9205298013245033
0.5329641128919471,171486,321759,0.5312398503079762,0.5346875883727108,0.9413172508478361,0.05831440801247501,0.995,0.941685591987525,0.9503311258278145,,0.9470198675496688,0.8741721854304636,iforest,rf,DoS,0,0.9933774834437086
0.5372685767919467,172871,321759,0.5355453099732971,0.5389909537272127,0.9146003025602429,0.05613756004646733,1.0,0.9438624399535327,0.9139072847682119,,0.9139072847682119,0.8377483443708609,iforest,rf,DoS,1,0.9635761589403974
1.0,11,11,0.7411670330319684,1.0,0.8904889863492569,0.05772833356008833,1.0,0.9422716664399117,0.9205298013245033,0.7913907284768212,0.8774834437086093,0.8675496688741722,iforest,rf,Heartbleed,0,0.9437086092715232
