arm,seed,imbalance,resampler,k_requested,n_train_malicious,rf_n_estimators,n_train_after_resample,k_used,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,benign_fpr,benign_fp_count,attack_detection_rate,attacks_missed,phantom_classes,phantom_predictions,tau_b,tau_m,tau_u,rf_max_depth,rf_max_features,rf_max_samples,rf_class_weight
smote-k5-base,2,none,smote,5.0,164857,200,788310,5.0,156.42001560001518,0.9608074365993804,0.9331312227000852,0.7471083560717727,0.976014435089903,0.7371537908045916,0.7998267623143587,0.0596749379912298,5702.0,0.9910408469442636,633.0,1.0,4952.0,-0.0005818709507489,1.0,-0.0003164573417955,,,,
smote-k5-base,3,none,smote,5.0,164857,200,788310,5.0,216.061572000006,0.9613669865527512,0.9388513981016964,0.7490160588051723,0.9765822955756835,0.7372926987895833,0.804729769801454,0.0592249165367186,5659.0,0.991536218756192,598.0,1.0,4937.0,-0.0001876956650736,1.0,-0.0001401887157151,,,,
smote-k5-base,4,none,smote,5.0,164857,200,788310,5.0,132.988846799999,0.9619987365001051,0.9435657376365288,0.7370219417932748,0.977028769109505,0.7172782199292936,0.8087706322598819,0.0604807903632615,5779.0,0.9931497155150452,484.0,1.0,4787.0,-0.0005452021276874,0.995,-0.0004021987402639,,,,
weighted-base,0,none,none,,164857,200,164857,,12.73796259998926,0.9634186697151108,0.9097397894414518,0.7885569934498361,0.9774350954928585,0.8047718671569576,0.7797769623783873,0.0570794654163745,5454.0,0.9920457440484616,562.0,1.0,4808.0,-0.0008534578730662,1.0,-0.000351310464784,,,,balanced
weighted-base,1,none,none,,164857,200,164857,,10.835139000002528,0.9631960530669956,0.9149141703481388,0.78378566822114,0.9774778859848724,0.7953643968823283,0.7842121460126904,0.0574038994882314,5485.0,0.993093101593682,488.0,1.0,4879.0,-0.0004187107537423,1.0,-0.0001067516862022,,,,balanced
weighted-base,2,none,none,,164857,200,164857,,11.532543699984672,0.9642670196444152,0.918166574068164,0.7866500632253963,0.9787184131789493,0.7981447362455842,0.7869999206298549,0.055352638904878,5289.0,0.9929798737509552,496.0,1.0,4929.0,-0.0005818709507489,1.0,-0.0003164573417955,,,,balanced
weighted-base,3,none,none,,164857,200,164857,,12.275287700002082,0.9650311362474052,0.913841600317842,0.7940772706417922,0.9793895528027632,0.8111717541498406,0.783292800272436,0.0539711776956808,5157.0,0.9926684971834574,518.0,1.0,4912.0,-0.0001876956650736,1.0,-0.0001401887157151,,,,balanced
weighted-base,4,none,none,,164857,200,164857,,11.140480100002604,0.9648446195962816,0.9147983662195408,0.7733395893457968,0.9790658583516564,0.7811865445855392,0.784112885331035,0.0548502893742608,5241.0,0.9924137345373228,536.0,1.0,4803.0,-0.0005452021276874,1.0,-0.0004021987402639,,,,balanced
weighted-subsample,0,none,none,,164857,200,164857,,13.984332399995765,0.964441502963208,0.9172957500043324,0.7781898410042926,0.9786083934214695,0.7860286593412354,0.7862535000037135,0.055572416824523,5310.0,0.99254111586039,527.0,1.0,4805.0,-0.0008534578730662,1.0,-0.000351310464784,,,,balanced_subsample
weighted-subsample,1,none,none,,164857,200,164857,,14.66251180000836,0.9626004031166332,0.908068835287854,0.7724159189928324,0.976976518226842,0.7843658554076416,0.7783447159610178,0.0584190641646869,5582.0,0.9931780224757268,482.0,1.0,4890.0,-0.0004187107537423,1.0,-0.0001067516862022,,,,balanced_subsample
weighted-subsample,2,none,none,,164857,200,164857,,13.448099000001092,0.9632562197286484,0.9123834855850076,0.7756184915310625,0.977732752055293,0.7862337532517617,0.7820429876442921,0.0571841215685864,5464.0,0.9929798737509552,496.0,1.0,4920.0,-0.0005818709507489,1.0,-0.0003164573417955,,,,balanced_subsample
weighted-subsample,3,none,none,,164857,200,164857,,13.457316399988486,0.9621792364850636,0.9122261897741762,0.7822645842826933,0.9765420941023312,0.7943082681435591,0.7819081626635797,0.0590260698475159,5640.0,0.9928241854672064,507.0,1.0,4914.0,-0.0001876956650736,1.0,-0.0001401887157151,,,,balanced_subsample
weighted-subsample,4,none,none,,164857,200,164857,,13.91271420000703,0.9630396197466984,0.9142782579718812,0.7774395258907001,0.97719043072645,0.7872140116904556,0.7836670782616125,0.057602746177434,5504.0,0.9919749766467576,567.0,1.0,4816.0,-0.0005452021276874,1.0,-0.0004021987402639,,,,balanced_subsample
